Nombre,Cantidad,Impuesto,"Precio de venta","Precio de venta + impuestos","Lista de precios 1 (%)","Lista de precios 2 (%)","Lista de precios 3 (%)","Lista de precios 4 (%)"
"REPEXXIN 25 A 60 KG.",3,21,22219,26885,,,,
"REPEXXIN 4 A 25 KG.",3,21,21128,25565,,,,
"rolling ball - pelota electronica chica",4,0,5760,5760,,,,
"ropita para perros Nª0",2,0,3485,3485,,,,
"ropita para perros Nª5",1,0,19826,19826,,,,
"Shampoo Aceite Jojoba Osspret",1,21,9107,11019,,,,
"Shampoo Mascota 300ml ""Fiel""",5,0,9899,9899,,,,
"Shampoo medicado Osspret",1,21,8402,10167,,,,
"shampoo OSSPRET Aloe vera",1,21,10067,12182,,,,
"shampoo OSSPRET cachorros",2,21,10440,12632,,,,
"Shampoo Osspret Clorhexidina",2,21,10492,12696,,,,
"Shampoo Osspret Double",1,21,9688,11722,,,,
"Shmpoo Osspret Ketoconazol",2,21,14038,16986,,,,
"Simparica hasta 10",1,21,14334,17344,,,,
"Simparica hasta 40",1,21,21768,26340,,,,
"Simparica hasta 60",2,21,25955,31405,,,,
"Soft Cream Salmon gato/ perro",48,0,5231,5231,,,,
"Soga Alpina de 35cm x 35 cm con Pelota de Goma Grande",1,0,18413,18413,,,,
"Soga Alpina de 45cm con Pelota de Goma Chica",2,0,8939,8939,,,,
"Soga con pelota 20 cm",2,0,3780,3780,,,,
"Spectryl blister",9,21,8900,10768,,,,
"Suero fisiologico 500 ml",3,0,3011,3011,,,,
"Suero Reinger 500 ml",3,0,3652,3652,,,,
"sujetador doble",1,0,11340,11340,,,,
"sujetador economico - cinturon seguridad (pet suplis)",2,0,3420,3420,,,,
"Supramin-C blister",7,0,4590,4590,,,,
"T 4 blister",3,21,2686,3250,,,,
"T 4 F blister",8,21,4427,5356,,,,
"Terramicina Zoetis x 50 ml",2,21,9094,11004,,,,
"Tirador Soga Largo",2,0,3960,3960,,,,
"Toltrazol comprimidos",15,21,2263,2738,,,,
"tonico Total Cat",1,21,11263,13628,,,,
"Tonico Total Dog",2,21,10847,13125,,,,
"Tonico Total jarabe",1,21,13941,16869,,,,
"Total Full CG 15 ml",5,21,8242,9972,,,,
"TOTAL FULL CG X 15 ML",4,21,7324,8862,,,,
"TOTAL FULL GATOS SUSPENSION X 15 ML",3,0,5411,5411,,,,
"TOTAL FULL PERROS SUSPENSION X 15 ML",1,21,5290,6401,,,,
"Total Full susp gato",3,21,5411,6547,,,,
"Transportadora L - bolso rígido grande",2,0,32000,32000,,,,
"Transportadora M - bolso rígido mediano",2,0,27200,27200,,,,
"transportadora policarbonato 48-31-31 cm",1,0,33660,33660,,,,
"Transportadora Puerta Metal 45x32x27",1,0,41040,41040,,,,
"transportadora s - bolso rígido pequeño",2,0,20500,20500,,,,
"Trazodona comp",14,0,4200,4200,,,,
"Trocitos salsa de carne perro grandes",12,0,1800,1800,,,,
"Trocitos salsa de carne perro pequeño",12,0,1800,1800,,,,
"Trocitos salsa pollo gato",23,0,1800,1800,,,,
"Ungúento oftalmico 1% Ciclosporina",2,21,22583,27325,,,,
"Untador comelento model",1,0,6300,6300,,,,
"UrsoMarina 10 mg blister",16,21,6770,8191,,,,
"UrsoMarina 20 mg blister",7,21,10659,12897,,,,
"UV Day gotas oftalm",1,21,6060,7333,,,,
"Vacuna KC nasal",15,21,11909,14410,,,,
"Vacuna KC oral",1,21,9600,11616,,,,
"Vacuna quintuple",47,21,6616,8005,,,,
"Vacuna Rabia",35,21,1780,2154,,,,
"Vacuna sextuple",49,21,6773,8195,,,,
"Vacuna triple felina",32,21,6128,7415,,,,
"Vacuna Vif/ViLef",7,21,8993,10882,,,,
"Varira con plumas",3,0,3400,3400,,,,
"varita pompo",1,0,4675,4675,,,,
"Wondercat Aglomerante Aire Zen 12 kg",1,0,22640,22640,,,,
"Wondercat granulado higienico premium encanto de amor",1,0,7515,7515,,,,
"Wondercat granulado higienico premium lavanda",3,0,7515,7515,,,,
"Wondercat granulado higienico premium limon",1,0,7515,7515,,,,
"Wondercat granulado higienico premium neutro",10,0,4400,4400,,,,
"Wondercat microgranulado perfumado pura naturaleza",17,0,4420,4420,,,,
"Wondercat piedra sanitaria economicas 2 kg",14,0,3162,3162,,,,
"Wondercat piedras aglomerantes (12kg)",3,0,2209,2209,,,,
"Wondercat piedras aglomerantes (4 kg)",6,0,10540,10540,,,,
"wondercat piedras economica x 4kg",1,0,5952,5952,,,,
zaleas,2,0,7612,7612,,,,
"Zanex 32-64",3,21,36486,44149,,,,
